,書名,作者,價格
0,Spring Boot 零基礎入門：從零到專案開發，古古帶你輕鬆上手(iThome鐵人賽系列書),"
中文書

古君葳（古古）
","
優惠價: 79 折, 568 元
"
1,Spring Boot 零基礎入門：從零到專案開發，古古帶你輕鬆上手(iThome鐵人賽系列書),"
中文書

姜橋
","
優惠價: 79 折, 790 元
"
2,最實用業界專案精選：用Spring Boot和Spring Cloud頂級開發,"
中文書

洪維恩
","
優惠價: 79 折, 537 元
"
3,最實用業界專案精選：用Spring Boot和Spring Cloud頂級開發,"
中文書

Bert Bates  Kathy Sierra  Trisha Gee  黃銘偉
","
優惠價: 79 折, 774 元
"
4,Java 教學手冊 第六版,"
中文書

何嘉益  張力元  張志成  歐志信  蔡文龍
","
優惠價: 79 折, 474 元
"
5,Java 教學手冊 第六版,"
中文書

施威銘研究室
","
優惠價: 79 折, 537 元
"
6,深入淺出Java程式設計 第三版,"
中文書

洪錦魁
","
優惠價: 79 折, 790 元
"
7,深入淺出Java程式設計 第三版,"
中文書

陳錦輝
","
優惠價: 75 折, 517 元
"
8,Java x ChatGPT基礎必修課(適用Java 20~12，涵蓋ITS Java國際認證),"
中文書

孫鑫
","
優惠價: 79 折, 853 元
"
9,Java x ChatGPT基礎必修課(適用Java 20~12，涵蓋ITS Java國際認證),"
中文書

林信良
","
優惠價: 79 折, 537 元
"
10,最新 Java 程式語言 修訂第七版,"
中文書

程杰
","
優惠價: 79 折, 695 元
"
11,最新 Java 程式語言 修訂第七版,"
中文書

余顯強
","
優惠價: 95 折, 428 元
"
12,Java最強入門邁向頂尖高手之路：王者歸來(第二版)全彩版,"
中文書

王樹生
","
優惠價: 79 折, 679 元
"
13,Java最強入門邁向頂尖高手之路：王者歸來(第二版)全彩版,"
中文書

曾瑞君
","
優惠價: 66 折, 541 元
"
14,掌握Java程式設計：使用長期支援版本JDK11/17,"
中文書

曾瑞君
","
優惠價: 75 折, 517 元
"
15,掌握Java程式設計：使用長期支援版本JDK11/17,"
中文書

曾瑞君
","
優惠價: 9 折, 522 元
"
16,從基礎應用到企業開發：Spring Boot從實戰中快速上手,"
中文書

勁樺科技
","
優惠價: 9 折, 315 元
"
17,從基礎應用到企業開發：Spring Boot從實戰中快速上手,"
中文書

李昇暾  詹智安
","
優惠價: 9 折, 540 元
"
18,Java SE 17 技術手冊,"
中文書

許煜松（Kuma）
","
優惠價: 9 折, 585 元
"
19,Java SE 17 技術手冊,"
中文書

吳燦銘  胡昭民
","
優惠價: 9 折, 441 元
"
20,大話設計模式：JAVA風雲再起彩色加強版,"
中文書

吳燦銘  胡昭民
","
優惠價: 9 折, 450 元
"
21,大話設計模式：JAVA風雲再起彩色加強版,"
中文書

任鋼
","
優惠價: 9 折, 882 元
"
22,圖解Java物件導向程式語言,"
中文書

張子庭
","
優惠價: 95 折, 836 元
"
23,圖解Java物件導向程式語言,"
中文書

吳燦銘  胡昭民
","
優惠價: 9 折, 441 元
"
24,遙遙領先：使用Java開發Web新手轉高手之路,"
中文書

洪國勝
","
優惠價: 95 折, 551 元
"
25,遙遙領先：使用Java開發Web新手轉高手之路,"
中文書

Mark Heckler  黃銘偉
","
優惠價: 9 折, 522 元
"
26,OCP：Java SE 11 Developer認證指南(下)API剖析運用篇,"
中文書

Raoul-Gabriel Urma  Richard Warburton  張耀鴻
","
優惠價: 9 折, 432 元
"
27,OCP：Java SE 11 Developer認證指南(下)API剖析運用篇,"
中文書

段維瀚
","
優惠價: 9 折, 360 元
"
28,OCP：Java SE 11 Developer 認證指南(上)物件導向設計篇,"
中文書

陳錦輝
","
優惠價: 9 折, 621 元
"
29,OCP：Java SE 11 Developer 認證指南(上)物件導向設計篇,"
中文書

Ken Kousen  賴屹民
","
優惠價: 9 折, 522 元
"
30,微服務開發指南|使用Spring Cloud與Docker,"
中文書

Allen B. Downey  張靜雯
","
優惠價: 9 折, 432 元
"
31,微服務開發指南|使用Spring Cloud與Docker,"
中文書

數位新知
","
優惠價: 95 折, 570 元
"
32,入門首選 Java 程式設計- 最新版(第二版) - 附MOSME行動學習一點通：評量.加值,"
中文書

呂瑞麟、陳宜惠
","
優惠價: 9 折, 711 元
"
33,入門首選 Java 程式設計- 最新版(第二版) - 附MOSME行動學習一點通：評量.加值,"
中文書

數位新知
","
優惠價: 95 折, 428 元
"
34,區塊鏈NFT與Web3實務應用,"
中文書

陳明
","
優惠價: 95 折, 646 元
"
35,區塊鏈NFT與Web3實務應用,"
中文書

曾瑞君
","
優惠價: 9 折, 522 元
"
36,你就是不寫測試才會沒時間：Kuma的單元測試實戰-Java篇(iThome鐵人賽系列書),"
中文書

Daniel Leuck  Marc Loy  Patrick Niemeyer  莊弘祥
","
優惠價: 9 折, 702 元
"
37,你就是不寫測試才會沒時間：Kuma的單元測試實戰-Java篇(iThome鐵人賽系列書),"
中文書

陳明
","
優惠價: 95 折, 646 元
"
38,圖說演算法：使用Java【暢銷回饋版】,"
中文書

袁康
","
優惠價: 9 折, 711 元
"
39,圖說演算法：使用Java【暢銷回饋版】,"
中文書

Kevlin Henney  Trisha Gee  黃詩涵
","
優惠價: 9 折, 405 元
"
40,圖解資料結構：使用Java(第三版),"
中文書

易哥
","
優惠價: 9 折, 792 元
"
41,圖解資料結構：使用Java(第三版),"
中文書

何英治
","
優惠價: 95 折, 618 元
"
42,Java也可以K8s：使用最新Quarkus打造新世代原生微服務,"
中文書

Abraham Marín-Pérez  Daniel Bryant  賴屹民
","
優惠價: 9 折, 702 元
"
43,Java也可以K8s：使用最新Quarkus打造新世代原生微服務,"
中文書

Michael Brzustowicz  楊尊一
","
優惠價: 9 折, 432 元
"
44,JAVA程式設計藝術(第十版)(國際版)(附範例光碟),"
中文書

LIANG
","
優惠價: 1400 元
"
45,JAVA程式設計藝術(第十版)(國際版)(附範例光碟),"
中文書

Paul Bakker  Sander Mak  賴屹民
","
優惠價: 9 折, 522 元
"
46,圖說演算法：使用Java,"
中文書

趙令文
","
優惠價: 79 折, 410 元
"
47,圖說演算法：使用Java,"
中文書

蔡明志
","
優惠價: 95 折, 475 元
"
48,從零開始!Java 程式設計入門,"
中文書

李春雄
","
優惠價: 95 折, 713 元
"
49,從零開始!Java 程式設計入門,"
中文書

李剛
","
優惠價: 9 折, 594 元
"
50,Spring Boot：建置與執行,"
中文書

Noel Markham  林耕溥
","
優惠價: 9 折, 405 元
"
51,Spring Boot：建置與執行,"
中文書

陳會安
","
優惠價: 95 折, 618 元
"
52,高生產力軟體開發實務：以Java專案驅動的基礎指南,"
中文書

李銘城
","
優惠價: 9 折, 468 元
"
53,高生產力軟體開發實務：以Java專案驅動的基礎指南,"
中文書

呂高旭
","
優惠價: 9 折, 405 元
"
54,猛虎再臨!MTA Java 國際專業認證 (Microsoft Exam：98-388),"
中文書

康廷數位
","
優惠價: 9 折, 648 元
"
55,猛虎再臨!MTA Java 國際專業認證 (Microsoft Exam：98-388),"
中文書

賈蓉生、胡大源、林金池
","
優惠價: 9 折, 522 元
"
56,掌握Java SE11程式設計,"
中文書

賈蓉生．胡大源．林金池
","
優惠價: 9 折, 468 元
"
57,掌握Java SE11程式設計,"
中文書

江振瑞
","
優惠價: 95 折, 466 元
"
58,現代 Java：輕鬆解決 Java 8 與 9 的難題,"
中文書

廖志偉
","
優惠價: 79 折, 695 元
"
