,Title,Author,Price
0,問ChatGPT也不會的Python量化交易聖經：從分析到真實交易一本全會,張峮瑋  黃子靜,"優惠價: 79 折, 695 元"
1,AI視覺：最強入門邁向頂尖高手 王者歸來,洪錦魁,"優惠價: 79 折, 1011 元"
2,AI助攻 Python超級入門 創意設計 x AI程式實作,洪錦魁,"優惠價: 79 折, 458 元"
3,史上最強Python入門邁向頂尖高手之路王者歸來 第3版(燙金彩色印刷紀念版),洪錦魁,"優惠價: 79 折, 948 元"
4,Python自學聖經(第三版)：從程式素人到開發強者的技術、實戰與AI應用大全(附影音/範例程式),文淵閣工作室  鄧君如,"優惠價: 79 折, 695 元"
5,Python x AI辦公室作業自動化：Word、Excel、PowerPoint、PDF、CSV、Pandas-多執行緒、排程、藝術二維碼、短網址、電子郵件、爬蟲,洪錦魁,"優惠價: 79 折, 695 元"
6,AI之眼：幻影操控、變臉、唇語、美妝、手勢、肢體、表情偵測、人臉辨識 Python創意實戰,洪錦魁,"優惠價: 79 折, 624 元"
7,FastAPI|現代Python網站開發,Bill Lubanovic  張正豪,"優惠價: 79 折, 537 元"
8,一步到位!Python 程式設計 – 最強入門教科書 第四版,陳惠貞,"優惠價: 79 折, 497 元"
9,世界第一簡單的 Python「超」入門 - 零基礎 OK!ChatGPT 隨時當助教!,鎌田正浩  夏萱,"優惠價: 79 折, 394 元"
10,世界第一簡單的演算法：圖解 ✕ 程式 ✕ 刷題機器人,Aditya Y Bhargava  郭柏堅  陳婉婷,"優惠價: 79 折, 473 元"
11,到地府走一趟才發現連閻羅王都會 Python!,施威銘研究室,"優惠價: 79 折, 394 元"
12,演算法 圖解原理 x Python實作 x 創意應用 王者歸來(四版),洪錦魁,"優惠價: 79 折, 616 元"
13,Python金融市場賺大錢聖經：寫出你的專屬指標(四版),張峮瑋,"優惠價: 79 折, 624 元"
14,AI 神助攻!程式設計新境界：GitHub Copilot 開發 Python 如虎添翼 : 提示工程、問題分解、測試案例、除錯,Daniel Zingaro  Leo Porter  施威銘研究室,"優惠價: 95 折, 532 元"
15,Python零基礎入門班(第四版)：一次打好程式設計、運算思維與邏輯訓練基本功(加贈「ChatGPT學Python入門」影音),文淵閣工作室,"優惠價: 79 折, 308 元"
16,LangChain開發手冊：OpenAI × LCEL 表達式 × Agent 自動化流程 × RAG 擴展模型知識 × 圖形資料庫 × LangSmith 除錯工具,施威銘研究室,"優惠價: 95 折, 646 元"
17,Python初學特訓班(第六版)：從快速入門、主流應用到AI全面實戰(附超過500分鐘影音教學/範例程式),文淵閣工作室,"優惠價: 9 折, 441 元"
18,AI時代的Python高效學習書：ChatGPT程式助理新思維,陳惠貞,"優惠價: 9 折, 495 元"
19,圖解資料結構 × 演算法：運用 Python 結合 ChatGPT 輔助驗證及寫程式(暢銷回饋版),胡昭民,"優惠價: 9 折, 612 元"
20,APCS 完全攻略：從新手到高手，Python 解題必備!【好評回饋版】,吳燦銘  胡昭民,"優惠價: 9 折, 585 元"
21,Python程式設計的樂趣|範例實作與專題研究的20堂程式設計課 第三版,Eric Matthes  H&C,"優惠價: 9 折, 612 元"
22,精通Python網路開發,Eric Chou（周君逸）  皇文淵,"優惠價: 79 折, 774 元"
23,【最新ITS認證第二版】Python零基礎入門班(含ITS Python國際認證模擬試題),文淵閣工作室  鄧君如,"優惠價: 9 折, 405 元"
24,資料可視化王者：用Python讓AI活躍在圖表世界中,姜偉生,"優惠價: 9 折, 1422 元"
25,Python：最強入門ChatGPT助攻邁向數據科學之路 - 王者歸來(全彩印刷第四版),洪錦魁,"優惠價: 79 折, 948 元"
26,看圖學Python人工智慧程式設計(第二版),陳會安,"優惠價: 95 折, 494 元"
27,AI時代Math元年：用Python全精通程式設計,姜偉生,"優惠價: 9 折, 1152 元"
28,零基礎入門的Python自動化投資：10年操盤手團隊量化通，教你從零開始學程式交易，讓你輕鬆選股、判斷買賣時機，精準獲利,量化通,"優惠價: 79 折, 355 元"
29,給中小學生的Python：初學程式設計也能快速上手(3版),傑森‧布里格斯  李強  Miran Lipovača,"優惠價: 9 折, 405 元"
30,Python 教學手冊,洪維恩,"優惠價: 95 折, 618 元"
31,Python 程式設計基石：基礎概念與實戰應用全攻略,袁儀齡  袁葆宏,"優惠價: 9 折, 612 元"
32,精通 Python：運用簡單的套件進行現代運算(第二版),Bill Lubanovic  賴屹民,"優惠價: 9 折, 792 元"
33,零基礎Python程式設計入門,數位新知,"優惠價: 95 折, 333 元"
34,用Python學AI理論與程式實作(涵蓋Certiport ITS AI國際認證模擬試題),李啟龍  陳威達,"優惠價: 9 折, 522 元"
35,Python + ChatGPT 零基礎+高效率學程式設計與運算思維(第四版),洪錦魁,"優惠價: 79 折, 624 元"
36,Python資料分析 第三版,Wes McKinney  賴屹民,"優惠價: 9 折, 882 元"
37,Python網路爬蟲：大數據擷取、清洗、儲存與分析 王者歸來(第二版),洪錦魁,"優惠價: 79 折, 592 元"
38,從零開始學Python程式設計(第六版)(適用Python 3.10以上),李馨,"優惠價: 9 折, 648 元"
39,絕對會Python用場!驚人的程式妙用,陳思涵,"優惠價: 79 折, 537 元"
40,Deep Learning：用Python進行深度學習的基礎理論實作,斎藤康毅  吳嘉芳,"優惠價: 9 折, 522 元"
41,Python建模與模擬|科學家與工程師的入門指南,Allen B. Downey  楊新章,"優惠價: 9 折, 522 元"
42,Real Python 人氣站長教你動手寫程式 - 不說教也能心領神會的引導式實作課,Dan Bader  David Amos  Fletcher Heisler  Joanna Jablonski  蔣佑仁,"優惠價: 95 折, 713 元"
